region,year,quarter,year_quarter,dataset,data_type,x_year_quarter,target_year_quarter,current_living_price_risk_score,actual_living_price_risk_score,actual_delta_living_price_risk_score,pressure_index,forecast_living_price_risk_score_default,forecast_delta_default,actual_rank,actual_percentile,forecast_rank,forecast_percentile,display_quarter,target_living_price_risk_score,x_quarter,target_quarter
강원특별자치도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,62.69574944071588,62.69574944071588,,,,,9.0,0.5,,,2017Q1,62.69574944071588,,
경기도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,67.50559284116332,67.50559284116332,,,,,4.0,0.8125,,,2017Q1,67.50559284116332,,
경상남도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,54.36241610738255,54.36241610738255,,,,,15.0,0.125,,,2017Q1,54.36241610738255,,
경상북도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,63.03131991051455,63.03131991051455,,,,,8.0,0.5625,,,2017Q1,63.03131991051455,,
광주광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,82.55033557046978,82.55033557046978,,,,,1.0,1.0,,,2017Q1,82.55033557046978,,
대구광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,70.52572706935125,70.52572706935125,,,,,2.0,0.9375,,,2017Q1,70.52572706935125,,
대전광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,60.12304250559284,60.12304250559284,,,,,10.0,0.4375,,,2017Q1,60.12304250559284,,
부산광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,51.39821029082774,51.39821029082774,,,,,16.0,0.0625,,,2017Q1,51.39821029082774,,
서울특별시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,67.33780760626398,67.33780760626398,,,,,5.0,0.75,,,2017Q1,67.33780760626398,,
세종특별자치시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,,,,,,,,,,,2017Q1,,,
울산광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,64.87695749440716,64.87695749440716,,,,,6.0,0.6875,,,2017Q1,64.87695749440716,,
인천광역시,2017,1,2017Q1,train,actual,2017Q1,2017Q1,59.61968680089486,59.61968680089486,,,,,11.0,0.375,,,2017Q1,59.61968680089486,,
전라남도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,59.28411633109619,59.28411633109619,,,,,12.0,0.3125,,,2017Q1,59.28411633109619,,
전북특별자치도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,59.00447427293065,59.00447427293065,,,,,13.0,0.25,,,2017Q1,59.00447427293065,,
제주특별자치도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,64.82102908277405,64.82102908277405,,,,,7.0,0.625,,,2017Q1,64.82102908277405,,
충청남도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,58.89261744966442,58.89261744966442,,,,,14.0,0.1875,,,2017Q1,58.89261744966442,,
충청북도,2017,1,2017Q1,train,actual,2017Q1,2017Q1,68.17673378076063,68.17673378076063,,,,,3.0,0.875,,,2017Q1,68.17673378076063,,
강원특별자치도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,59.3400447427293,59.3400447427293,,,,,4.0,0.8125,,,2017Q2,59.3400447427293,,
경기도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,57.66219239373603,57.66219239373603,,,,,5.0,0.75,,,2017Q2,57.66219239373603,,
경상남도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,38.14317673378076,38.14317673378076,,,,,16.0,0.0625,,,2017Q2,38.14317673378076,,
경상북도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,50.39149888143177,50.39149888143177,,,,,10.0,0.4375,,,2017Q2,50.39149888143177,,
광주광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,66.2751677852349,66.2751677852349,,,,,3.0,0.875,,,2017Q2,66.2751677852349,,
대구광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,48.266219239373605,48.266219239373605,,,,,13.0,0.25,,,2017Q2,48.266219239373605,,
대전광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,50.16778523489933,50.16778523489933,,,,,11.0,0.375,,,2017Q2,50.16778523489933,,
부산광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,41.94630872483221,41.94630872483221,,,,,14.0,0.1875,,,2017Q2,41.94630872483221,,
서울특별시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,69.51901565995526,69.51901565995526,,,,,2.0,0.9375,,,2017Q2,69.51901565995526,,
세종특별자치시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,,,,,,,,,,,2017Q2,,,
울산광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,72.59507829977628,72.59507829977628,,,,,1.0,1.0,,,2017Q2,72.59507829977628,,
인천광역시,2017,2,2017Q2,train,actual,2017Q2,2017Q2,54.92170022371365,54.92170022371365,,,,,7.0,0.625,,,2017Q2,54.92170022371365,,
전라남도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,53.02013422818792,53.02013422818792,,,,,8.0,0.53125,,,2017Q2,53.02013422818792,,
전북특별자치도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,41.55480984340044,41.55480984340044,,,,,15.0,0.125,,,2017Q2,41.55480984340044,,
제주특별자치도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,53.02013422818792,53.02013422818792,,,,,8.0,0.53125,,,2017Q2,53.02013422818792,,
충청남도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,56.655480984340045,56.655480984340045,,,,,6.0,0.6875,,,2017Q2,56.655480984340045,,
충청북도,2017,2,2017Q2,train,actual,2017Q2,2017Q2,48.65771812080536,48.65771812080536,,,,,12.0,0.3125,,,2017Q2,48.65771812080536,,
강원특별자치도,2017,2,2017Q2,train,backtest_pred,2017Q1,2017Q2,62.69574944071588,59.3400447427293,-3.3557046979865817,-11.497945138991303,59.246365899018485,-3.4493835416973937,4.0,0.8125,9.0,0.5,2017Q2,,2017Q1,2017Q2
